                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.79711,                0.68251,                 1.0413,                0.90419,                0.84132,                0.91588,                0.74815,                0.72175,                0.53614,                0.91686,               0.003466,               0.003466,               0.003466
                     68,                0.79287,                0.65158,                 1.0266,                0.88875,                0.84888,                0.91497,                0.75863,                0.71203,                0.52384,                0.91195,               0.003367,               0.003367,               0.003367
                     69,                0.78598,                0.66021,                 1.0249,                0.91645,                0.84179,                0.91663,                0.76242,                0.71521,                0.52564,                0.91432,               0.003268,               0.003268,               0.003268
                     70,                0.78123,                0.64094,                0.99962,                0.92176,                0.83966,                0.91849,                0.76329,                0.69637,                0.52303,                0.90879,               0.003169,               0.003169,               0.003169
                     71,                0.82907,                0.66051,                  1.003,                0.92443,                0.84141,                0.91639,                0.76808,                0.68697,                0.51858,                0.90586,                0.00307,                0.00307,                0.00307
                     72,                0.80679,                0.66039,                0.98909,                 0.8619,                0.89205,                0.91967,                 0.7685,                0.68162,                0.51138,                0.90358,               0.002971,               0.002971,               0.002971
                     73,                0.78652,                0.64443,                 1.0106,                0.88098,                0.87998,                0.91883,                0.76757,                0.67783,                 0.5047,                0.90377,               0.002872,               0.002872,               0.002872
                     74,                0.79973,                0.64062,                 0.9902,                0.92336,                0.86088,                0.91978,                0.76679,                0.67569,                0.49657,                0.90141,               0.002773,               0.002773,               0.002773
                     75,                0.79536,                0.63454,                0.98952,                0.93849,                0.85554,                0.92366,                 0.7742,                0.66545,                0.48945,                0.89647,               0.002674,               0.002674,               0.002674
                     76,                0.76788,                0.61588,                0.97494,                0.93917,                0.85188,                  0.923,                0.77104,                0.66355,                0.48555,                0.89377,               0.002575,               0.002575,               0.002575
                     77,                 0.7413,                0.60358,                0.98775,                0.92985,                0.85823,                  0.923,                0.77861,                0.65772,                0.47965,                0.89307,               0.002476,               0.002476,               0.002476
                     78,                0.75373,                0.60877,                0.98059,                0.90994,                0.87111,                0.92201,                0.77271,                0.66025,                0.47831,                0.89489,               0.002377,               0.002377,               0.002377
                     79,                0.76453,                0.60072,                0.98275,                0.91596,                0.86702,                0.92294,                0.77883,                0.65404,                0.47906,                0.89093,               0.002278,               0.002278,               0.002278
                     80,                0.73371,                0.60577,                0.99736,                0.91764,                0.86617,                0.92341,                0.77885,                0.65206,                0.47818,                 0.8882,               0.002179,               0.002179,               0.002179
                     81,                0.74987,                0.60165,                0.98956,                0.90461,                0.87472,                0.92629,                0.77904,                0.64711,                0.47176,                0.88622,                0.00208,                0.00208,                0.00208
                     82,                0.73638,                0.59471,                0.97562,                0.91554,                 0.8709,                  0.926,                0.78485,                0.63533,                0.47019,                0.88259,               0.001981,               0.001981,               0.001981
                     83,                 0.7318,                0.59517,                0.98808,                 0.9247,                0.86637,                0.92358,                0.78746,                0.62408,                0.46638,                0.87944,               0.001882,               0.001882,               0.001882
                     84,                 0.7414,                0.58388,                0.96129,                0.92722,                0.86827,                0.92501,                0.79133,                0.61884,                0.46789,                0.87751,               0.001783,               0.001783,               0.001783
                     85,                0.74114,                0.59778,                0.99103,                 0.9307,                0.86611,                0.92786,                0.79429,                0.61749,                 0.4663,                0.87724,               0.001684,               0.001684,               0.001684
                     86,                0.72865,                 0.5979,                 0.9784,                0.92679,                0.86766,                0.92948,                  0.795,                0.61732,                0.46151,                0.87677,               0.001585,               0.001585,               0.001585
                     87,                0.74184,                 0.6023,                0.99015,                0.92955,                0.86384,                0.92546,                0.79581,                0.62018,                0.45875,                0.87722,               0.001486,               0.001486,               0.001486
                     88,                0.72023,                0.58743,                0.97788,                0.94123,                 0.8583,                0.92532,                0.79067,                0.61345,                0.45072,                0.87561,               0.001387,               0.001387,               0.001387
